,Unique_Id,Location,Tansaction_Type,Property_Type,Address,Bedrooms,Bathrooms,Price,Description,Listing_Date,Agent,Listing_Source,listing_URL
0,WC2BS00001OM,WC2B,Sales,2 bedroom apartment for sale,"Newton Street, Covent Garden, WC2B",2,2,"£2,400,000","Newton Street, Covent Garden, WC2B. 2 bedroom apartment for sale",OnTheMarket > 14 days,Winkworth - West End,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2b/?view=grid
1,WC2BS00002OM,WC2B,Sales,1 bedroom flat for sale,Martlett Court,1,1,"£2,500,000",Martlett Court. 1 bedroom flat for sale,OnTheMarket < 7 days,,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2b/?view=grid
2,WC2BS00003OM,WC2B,Sales,2 bedroom apartment for sale,"Newton Street, Covent Garden, WC2B",2,2,"£5,450,000","Newton Street, Covent Garden, WC2B. 2 bedroom apartment for sale",OnTheMarket > 14 days,Winkworth - West End,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2b/?page=1&view=grid
3,WC2BS00004OM,WC2B,Sales,3 bedroom penthouse for sale,"Parker Street, Covent Garden, WC2B",3,3,"£2,500,000","Parker Street, Covent Garden, WC2B. 3 bedroom penthouse for sale",OnTheMarket > 14 days,,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2b/?page=1&view=grid
4,WC2BS00005OM,WC2B,Sales,1 bedroom apartment for sale,"Parker Street, Covent Garden, WC2B",1,1,"£2,400,000","Parker Street, Covent Garden, WC2B. 1 bedroom apartment for sale",OnTheMarket > 14 days,,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2b/?page=1&view=grid
5,WC2BS00006OM,WC2B,Sales,2 bedroom apartment for sale,"Parker Street, Covent Garden, WC2B",2,2,"£2,830,000","Parker Street, Covent Garden, WC2B. 2 bedroom apartment for sale",OnTheMarket > 14 days,,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2b/?page=1&view=grid
6,WC2ES00001OM,WC2E,Sales,2 bedroom apartment for sale,6 Exchange Court,2,2,"£1,075,000",6 Exchange Court. 2 bedroom apartment for sale,OnTheMarket < 7 days,,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2e/?view=grid
7,WC2ES00002OM,WC2E,Sales,2 bedroom apartment for sale,"Floral Street, Covent Garden, WC2E",2,2,"£1,100,000","Floral Street, Covent Garden, WC2E. 2 bedroom apartment for sale",Reduced < 7 days,,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2e/?view=grid
8,WC2ES00003OM,WC2E,Sales,2 bedroom apartment for sale,"Exchange Court, Covent Garden WC2R",2,2,"£995,000","Exchange Court, Covent Garden WC2R. 2 bedroom apartment for sale",OnTheMarket > 14 days,,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2e/?page=1&view=grid
9,WC2ES00004OM,WC2E,Sales,3 bedroom flat for sale,"Bedford Street, London",3,3,"£4,995,000","Bedford Street, London. 3 bedroom flat for sale",OnTheMarket > 14 days,,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2e/?page=1&view=grid
10,WC2ES00005OM,WC2E,Sales,1 bedroom apartment for sale,"Exchange Court, Covent Garden WC2R",1,2,"£1,350,000","Exchange Court, Covent Garden WC2R. 1 bedroom apartment for sale",OnTheMarket > 14 days,,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2e/?page=1&view=grid
11,WC2ES00006OM,WC2E,Sales,1 bedroom apartment for sale,"Tavistock Street, Covent Garden WC2",1,1,"£1,500,000","Tavistock Street, Covent Garden WC2. 1 bedroom apartment for sale",OnTheMarket > 14 days,,OnTheMartket,https://www.onthemarket.com/for-sale/property/wc2e/?page=1&view=grid
